district,state,city,domestic_tourists,international_tourists,total_tourists,tourist_growth_rate,average_stay_days,average_spend_per_tourist,hotel_rooms,homestay_capacity,occupancy_rate,seasonal_occupancy,tourism_employment,tourism_revenue,government_tourism_revenue,road_capacity_score,rail_capacity_score,airport_capacity_score,parking_capacity_score,sanitation_score,public_transport_score,tourist_facility_score,current_tourism_investment,planned_tourism_investment,estimated_infrastructure_cost,year,source,source_url,data_year,data_confidence
,Bihar,Chapra,,,,,,,,,,,,,,,,,,,,,,,,2026,Unverified - Prototype Mode,https://tourism.gov.in/,2026,Unverified
,Bihar,Darbhanga,,,,,,,,,,,,,,,,,,,,,,,,2026,Unverified - Prototype Mode,https://tourism.gov.in/,2026,Unverified
,Bihar,Dehri,,,,,,,,,,,,,,,,,,,,,,,,2026,Unverified - Prototype Mode,https://tourism.gov.in/,2026,Unverified
,Bihar,Dinapur Nizamat,,,,,,,,,,,,,,,,,,,,,,,,2026,Unverified - Prototype Mode,https://tourism.gov.in/,2026,Unverified
,Bihar,Gaya,,,,,,,,,,,,,,,,,,,,,,,,2026,Unverified - Prototype Mode,https://tourism.gov.in/,2026,Unverified
,Bihar,Hajipur,,,,,,,,,,,,,,,,,,,,,,,,2026,Unverified - Prototype Mode,https://tourism.gov.in/,2026,Unverified
,Bihar,Jamalpur,,,,,,,,,,,,,,,,,,,,,,,,2026,Unverified - Prototype Mode,https://tourism.gov.in/,2026,Unverified
,Bihar,Katihar,,,,,,,,,,,,,,,,,,,,,,,,2026,Unverified - Prototype Mode,https://tourism.gov.in/,2026,Unverified
,Bihar,Madhubani,,,,,,,,,,,,,,,,,,,,,,,,2026,Unverified - Prototype Mode,https://tourism.gov.in/,2026,Unverified
,Bihar,Motihari,,,,,,,,,,,,,,,,,,,,,,,,2026,Unverified - Prototype Mode,https://tourism.gov.in/,2026,Unverified
,Bihar,Munger,,,,,,,,,,,,,,,,,,,,,,,,2026,Unverified - Prototype Mode,https://tourism.gov.in/,2026,Unverified
,Bihar,Muzaffarpur,,,,,,,,,,,,,,,,,,,,,,,,2026,Unverified - Prototype Mode,https://tourism.gov.in/,2026,Unverified
,Bihar,Patna,,,,,,,,,,,,,,,,,,,,,,,,2026,Unverified - Prototype Mode,https://tourism.gov.in/,2026,Unverified
,Bihar,Purnia,,,,,,,,,,,,,,,,,,,,,,,,2026,Unverified - Prototype Mode,https://tourism.gov.in/,2026,Unverified
,Bihar,Pusa,,,,,,,,,,,,,,,,,,,,,,,,2026,Unverified - Prototype Mode,https://tourism.gov.in/,2026,Unverified
,Bihar,Saharsa,,,,,,,,,,,,,,,,,,,,,,,,2026,Unverified - Prototype Mode,https://tourism.gov.in/,2026,Unverified
,Bihar,Samastipur,,,,,,,,,,,,,,,,,,,,,,,,2026,Unverified - Prototype Mode,https://tourism.gov.in/,2026,Unverified
,Bihar,Sasaram,,,,,,,,,,,,,,,,,,,,,,,,2026,Unverified - Prototype Mode,https://tourism.gov.in/,2026,Unverified
,Bihar,Sitamarhi,,,,,,,,,,,,,,,,,,,,,,,,2026,Unverified - Prototype Mode,https://tourism.gov.in/,2026,Unverified
,Bihar,Siwan,,,,,,,,,,,,,,,,,,,,,,,,2026,Unverified - Prototype Mode,https://tourism.gov.in/,2026,Unverified
,Chandigarh,Chandigarh,,,,,,,,,,,,,,,,,,,,,,,,2026,Unverified - Prototype Mode,https://tourism.gov.in/,2026,Unverified
,Chhattisgarh,Ambikapur,,,,,,,,,,,,,,,,,,,,,,,,2026,Unverified - Prototype Mode,https://tourism.gov.in/,2026,Unverified
,Chhattisgarh,Bhilai,,,,,,,,,,,,,,,,,,,,,,,,2026,Unverified - Prototype Mode,https://tourism.gov.in/,2026,Unverified
