state_ut,year,domestic_tourist_visits,foreign_tourist_visits,data_status
Rajasthan,2024,230084000,2072407,official
Sikkim,2020,316408,19935,official
Sikkim,2021,511669,11508,official
Sikkim,2022,1625573,68645,official
Sikkim,2023,1321169,93908,official
Sikkim,2024,1540000,84820,official
Tamil Nadu,2020,140651241,1228323,official
Tamil Nadu,2021,115336719,57622,official
Tamil Nadu,2022,218584846,407126,official
Tamil Nadu,2023,286011515,1174899,official
Tamil Nadu,2024,306842000,1161302,official
Telangana,2020,39997001,46694,official
Telangana,2021,32000620,5917,official
Telangana,2022,60748425,68401,official
Telangana,2023,58447573,160912,official
Telangana,2024,88240000,155313,official
Tripura,2020,127815,31877,official
Tripura,2021,177816,5,official
Tripura,2022,235600,8493,official
Tripura,2023,366104,66708,official
Tripura,2024,601000,90824,official
Uttar Pradesh,2020,86122293,890932,official
Uttar Pradesh,2021,109708435,44737,official
Uttar Pradesh,2022,317913587,648986,official
Uttar Pradesh,2023,478525688,1601503,official
Uttar Pradesh,2024,646807000,2269067,official
Uttarakhand,2020,7005264,41339,official
Uttarakhand,2021,19434475,8532,official
Uttarakhand,2022,54642559,61561,official
Uttarakhand,2023,58140578,143027,official
Uttarakhand,2024,60849000,139375,official
West Bengal,2020,28841732,463285,official
West Bengal,2021,24325984,34828,official
West Bengal,2022,84542195,1037017,official
West Bengal,2023,145669292,2706942,official
West Bengal,2024,184476000,3124462,official
