place_name,state_ut,district,city_or_town,nearest_major_city,category
Poinsettia and Ixora Garden,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Garden
"Rag Doll museum, Rock garden",Chandigarh,Chandigarh,Chandigarh,Chandigarh,Cultural
Sanatan Dharam Mandir Sector 22,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Temple
Sector 1 Heritage Zone,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Heritage
Sector 10 Cultural Zone,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Cultural
Sector 19 Heritage Houses,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Heritage
Sector 2 Heritage Zone,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Heritage
Sector 22 Heritage Zone,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Heritage
Sector 23 Heritage Houses,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Heritage
Sector 27 Heritage Houses,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Heritage
Sector 28 Heritage Houses,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Heritage
Sector 7 Heritage Zone,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Heritage
Sensory Park,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Garden
Shanti Kunj Park,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Recreation
Shanti Kutir,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Garden
Shivalik Arboretum,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Wildlife
Shivalik Arboretum Nature Trail,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Recreation
Shivalik Garden Manimajra,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Garden
Shri Ram Darbar Temple,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Temple
Sukhna Choe Nature Corridor,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Wildlife
Sukhna Choe Water Bodies & Silt Dams,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Water Body
Sukhna Forest Reserve,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Wildlife
Sukhna Lake Illuminated Cycling Track,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Recreation
Sukhna Lake Museum & Gallery,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Museum
Sukhna Lake Water Sports Regatta Complex,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Recreation
Sukhna Nature Interpretation Centre,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Museum
Sukhna Wildlife Sanctuary (Shivalik Foothills),Chandigarh,Chandigarh,Sukhna Catchment,Chandigarh,Wildlife
Tank Monument,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Heritage
Theme Park Dadumajra,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Garden
Topiary Park (Sector 35 Animal Topiaries),Chandigarh,Chandigarh,Sector 35,Chandigarh,Garden
Valley Park I Dhanas,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Garden
1965 War Patton Tank Memorial (Leisure Valley Sector 10),Chandigarh,Chandigarh,Sector 10,Chandigarh,Monument
Aeroplane Landmark (Sector 31 Indian Air Force Memorial),Chandigarh,Chandigarh,Sector 31,Chandigarh,Monument
Bougainvillea Garden,Chandigarh,Chandigarh,Sector 3,Chandigarh,Garden
Capitol Complex Chandigarh (UNESCO World Heritage Site),Chandigarh,Chandigarh,Sector 1,Chandigarh,Heritage
Chandigarh Architecture Museum (Sector 10),Chandigarh,Chandigarh,Sector 10,Chandigarh,Museum
