place_name,state_ut,district,city_or_town,nearest_major_city,category
Chorla Ghat,Goa,North Goa,Keri,Belagavi,Trek
Divar Island,Goa,North Goa,Old Goa,Panaji,Island
Dr. Salim Ali Bird Sanctuary,Goa,North Goa,Chorão Island,Panaji,Wildlife
Fort Aguada & Lighthouse,Goa,North Goa,Candolim,Panaji,Fort
Miramar Beach,Goa,North Goa,Panaji,Panaji,Beach
Querim Beach,Goa,North Goa,Pernem,Panaji,Beach
Butterfly Beach & Secluded Coves,Goa,South Goa,Palolem,Margao,Beach
Cabo de Rama Fort,Goa,South Goa,Canacona,Margao,Village
Cola Beach,Goa,South Goa,Canacona,Margao,Beach
Colva Beach,Goa,South Goa,Colva,Madgaon,Beach
Cotigao Wildlife Sanctuary,Goa,South Goa,Canacona,Margao,Mountain
Dudhsagar Falls,Goa,South Goa,Sonaulim,Madgaon,Waterfall
Kakolem Beach,Goa,South Goa,Canacona,Margao,Beach
Netravali Wildlife Sanctuary,Goa,South Goa,Sanguem,Margao,Mountain
Palolem Beach,Goa,South Goa,Canacona,Madgaon,Beach
Tambdi Surla,Goa,South Goa,Mollem,Ponda,Village
Panaji,Goa,North Goa,Panaji,Panaji,Heritage
Old Goa,Goa,North Goa,Panaji,Panaji,Heritage
Vagator Beach,Goa,North Goa,Panaji,Panaji,Beach
Candolim Beach,Goa,North Goa,Panaji,Panaji,Beach
Reis Magos Fort,Goa,North Goa,Panaji,Panaji,Fort
Morjim Beach,Goa,North Goa,Panaji,Panaji,Beach
Benaulim Beach,Goa,South Goa,Marmagao,Panaji,Beach
Agonda Beach,Goa,South Goa,Marmagao,Panaji,Beach
Spice Plantations,Goa,Ponda,Ponda,Ponda,Heritage
Fontainhas,Goa,Panaji,Panaji,Panaji,Heritage
Tiracol Fort,Goa,North Goa,Panaji,Panaji,Fort
Mandrem Beach,Goa,North Goa,Panaji,Panaji,Beach
Varca Beach,Goa,South Goa,Marmagao,Panaji,Beach
Palacio de Deao,Goa,Quepem,Quepem,Quepem,Heritage
Se Cathedral,Goa,North Goa,Panaji,Panaji,Religious
Aguada Beach,Goa,North Goa,Candolim,Panaji,Beach
