place_name,state_ut,district,city_or_town,nearest_major_city,category
Dharamshala Tsuglagkhang Complex Dalai Lama Temple,Himachal Pradesh,Kangra,McLeodGanj,Dharamshala,Temple
Himalaya Subbody Butoh Meditation Centre Dharamshala,Himachal Pradesh,Kangra,Dharamkot,McLeodGanj,Culture
Indru Naag Temple,Himachal Pradesh,Kangra,Chola,Dharamshala,Temple
Kangra Art Museum,Himachal Pradesh,Kangra,Kotwali Bazaar,Dharamshala,Museum
Kangra Fort,Himachal Pradesh,Kangra,Old Kangra,Kangra,Fort
NAAM European Art Gallery,Himachal Pradesh,Kangra,Sidhbari,Dharamshala,Museum
Nechung Monastery Dharamshala,Himachal Pradesh,Kangra,Gangchen Kyishong,Dharamshala,Monastery
Palampur Town,Himachal Pradesh,Kangra,Palampur,Palampur,Nature
Chitkul & Baspa Valley (Last Indian Village),Himachal Pradesh,Kinnaur,Chitkul,Shimla,Nature
Kalpa,Himachal Pradesh,Kinnaur,Kalpa,Shimla,Mountain
Rakchham,Himachal Pradesh,Kinnaur,Sangla,Shimla,Mountain
Sangla Valley & Kamru Fort,Himachal Pradesh,Kinnaur,Sangla,Shimla,Valley
Atal Tunnel South Portal,Himachal Pradesh,Kullu,Dhundi,Manali,Monument
Beas Riverside Camping,Himachal Pradesh,Kullu,Manali,Manali,Camping
Bhrigu Lake Historic Landmark,Himachal Pradesh,Kullu,Gulaba Ridge,Manali,Lake
Film City View Point Manali,Himachal Pradesh,Kullu,Kothi,Manali,Viewpoint
Gulaba Tourist Snow Point,Himachal Pradesh,Kullu,Gulaba,Manali,Nature
Gurudwara Manikaran Sahib & Hot Springs,Himachal Pradesh,Kullu,Manikaran,Kullu,Spiritual
Gushaini,Himachal Pradesh,Kullu,Banjar,Mandi,Trek
Hampta Pass Snow Area,Himachal Pradesh,Kullu,Hampta Valley,Manali,Adventure
Hanuman Tibba Peak,Himachal Pradesh,Kullu,Solang Range,Manali,Mountain
Hidimba Devi Temple,Himachal Pradesh,Kullu,Manali,Manali,Temple
Jana Manali Waterfall and Forest,Himachal Pradesh,Kullu,Jana,Naggar,Waterfall
Jibhi & Tirthan Valley (GHNP Gateway),Himachal Pradesh,Kullu,Jibhi,Mandi,Nature
Jogini Waterfall,Himachal Pradesh,Kullu,Vashisht,Manali,Waterfall
Kanial to Salin and Lamadugh Top Trails,Himachal Pradesh,Kullu,Gadherni,Manali,Trekking
Kanial Top Boulder Trail,Himachal Pradesh,Kullu,Kanial,Manali,Hiking
Kanpari Tibba Hike,Himachal Pradesh,Kullu,Manali,Manali,Hiking
Kho Waterfall Manali,Himachal Pradesh,Kullu,Manali,Manali,Waterfall
Kullu Bijli Mahadev Temple,Himachal Pradesh,Kullu,Kashawari,Kullu,Temple
Kullu Chandrakhani Pass,Himachal Pradesh,Kullu,Naggar,Kullu,Trekking
Kullu Dechen Choekhor Buddhist Monastery,Himachal Pradesh,Kullu,Gompa Road,Kullu,Monastery
Kullu Dhakpo Monastery,Himachal Pradesh,Kullu,Kais,Kullu,Monastery
Kullu Great Himalayan National Park,Himachal Pradesh,Kullu,Sai Ropa,Banjar,Wildlife
Kullu Hamta Pass Valley Walk,Himachal Pradesh,Kullu,Hamta,Manali,Hiking
Kullu Hanogi Mata Temple,Himachal Pradesh,Kullu,Hanogi,Mandi,Temple
Kullu Jalori Pass - Ghat Road and Street Food,Himachal Pradesh,Kullu,Jalori,Banjar,Mountain
